column,missing_count,missing_ratio
responder_30,504,0.000504
responder_46,504,0.000504
responder_06,484,0.000484
responder_13,484,0.000484
responder_20,484,0.000484
responder_27,484,0.000484
responder_29,204,0.000204
responder_45,204,0.000204
responder_05,184,0.000184
responder_12,184,0.000184
responder_19,184,0.000184
responder_26,184,0.000184
responder_28,104,0.000104
responder_44,104,0.000104
responder_00,99,0.000099
responder_04,84,0.000084
responder_11,84,0.000084
responder_18,84,0.000084
responder_25,84,0.000084
responder_37,24,0.000024
responder_42,24,0.000024
responder_36,9,9e-6
responder_41,9,9e-6
responder_35,4,4e-6
responder_40,4,4e-6
responder_01,2,2e-6
row_id,0,0.0
time_id,0,0.0
asset_id,0,0.0
weight,0,0.0
feature_000,0,0.0
feature_001,0,0.0
feature_002,0,0.0
feature_003,0,0.0
feature_004,0,0.0
feature_005,0,0.0
feature_006,0,0.0
feature_007,0,0.0
feature_008,0,0.0
feature_009,0,0.0
feature_010,0,0.0
feature_011,0,0.0
feature_012,0,0.0
feature_013,0,0.0
feature_014,0,0.0
feature_015,0,0.0
feature_016,0,0.0
feature_017,0,0.0
feature_018,0,0.0
feature_019,0,0.0
feature_020,0,0.0
feature_021,0,0.0
feature_022,0,0.0
feature_023,0,0.0
feature_024,0,0.0
feature_025,0,0.0
feature_026,0,0.0
feature_027,0,0.0
feature_028,0,0.0
feature_029,0,0.0
feature_030,0,0.0
feature_031,0,0.0
feature_032,0,0.0
feature_033,0,0.0
feature_034,0,0.0
feature_035,0,0.0
feature_036,0,0.0
feature_037,0,0.0
feature_038,0,0.0
feature_039,0,0.0
feature_040,0,0.0
feature_041,0,0.0
feature_042,0,0.0
feature_043,0,0.0
feature_044,0,0.0
feature_045,0,0.0
feature_046,0,0.0
feature_047,0,0.0
feature_048,0,0.0
feature_049,0,0.0
feature_050,0,0.0
feature_051,0,0.0
feature_052,0,0.0
feature_053,0,0.0
feature_054,0,0.0
feature_055,0,0.0
feature_056,0,0.0
feature_057,0,0.0
feature_058,0,0.0
feature_059,0,0.0
feature_060,0,0.0
feature_061,0,0.0
feature_062,0,0.0
feature_063,0,0.0
feature_064,0,0.0
feature_065,0,0.0
feature_066,0,0.0
feature_067,0,0.0
feature_068,0,0.0
feature_069,0,0.0
feature_070,0,0.0
feature_071,0,0.0
feature_072,0,0.0
feature_073,0,0.0
feature_074,0,0.0
feature_075,0,0.0
feature_076,0,0.0
feature_077,0,0.0
feature_078,0,0.0
feature_079,0,0.0
feature_080,0,0.0
feature_081,0,0.0
feature_082,0,0.0
feature_083,0,0.0
feature_084,0,0.0
feature_085,0,0.0
feature_086,0,0.0
feature_087,0,0.0
feature_088,0,0.0
feature_089,0,0.0
feature_090,0,0.0
feature_091,0,0.0
feature_092,0,0.0
feature_093,0,0.0
feature_094,0,0.0
feature_095,0,0.0
feature_096,0,0.0
feature_097,0,0.0
feature_098,0,0.0
feature_099,0,0.0
feature_100,0,0.0
feature_101,0,0.0
feature_102,0,0.0
feature_103,0,0.0
feature_104,0,0.0
feature_105,0,0.0
feature_106,0,0.0
feature_107,0,0.0
feature_108,0,0.0
feature_109,0,0.0
feature_110,0,0.0
feature_111,0,0.0
feature_112,0,0.0
feature_113,0,0.0
feature_114,0,0.0
feature_115,0,0.0
feature_116,0,0.0
feature_117,0,0.0
feature_118,0,0.0
feature_119,0,0.0
feature_120,0,0.0
feature_121,0,0.0
feature_122,0,0.0
feature_123,0,0.0
feature_124,0,0.0
feature_125,0,0.0
feature_126,0,0.0
feature_127,0,0.0
feature_128,0,0.0
feature_129,0,0.0
feature_130,0,0.0
feature_131,0,0.0
feature_132,0,0.0
feature_133,0,0.0
feature_134,0,0.0
feature_135,0,0.0
feature_136,0,0.0
feature_137,0,0.0
feature_138,0,0.0
feature_139,0,0.0
feature_140,0,0.0
feature_141,0,0.0
feature_142,0,0.0
feature_143,0,0.0
feature_144,0,0.0
feature_145,0,0.0
feature_146,0,0.0
feature_147,0,0.0
feature_148,0,0.0
feature_149,0,0.0
feature_150,0,0.0
feature_151,0,0.0
feature_152,0,0.0
feature_153,0,0.0
feature_154,0,0.0
feature_155,0,0.0
feature_156,0,0.0
feature_157,0,0.0
feature_158,0,0.0
feature_159,0,0.0
feature_160,0,0.0
feature_161,0,0.0
feature_162,0,0.0
feature_163,0,0.0
feature_164,0,0.0
feature_165,0,0.0
feature_166,0,0.0
feature_167,0,0.0
feature_168,0,0.0
feature_169,0,0.0
feature_170,0,0.0
feature_171,0,0.0
feature_172,0,0.0
feature_173,0,0.0
feature_174,0,0.0
feature_175,0,0.0
feature_176,0,0.0
feature_177,0,0.0
feature_178,0,0.0
feature_179,0,0.0
feature_180,0,0.0
feature_181,0,0.0
feature_182,0,0.0
feature_183,0,0.0
feature_184,0,0.0
feature_185,0,0.0
feature_186,0,0.0
feature_187,0,0.0
feature_188,0,0.0
feature_189,0,0.0
feature_190,0,0.0
feature_191,0,0.0
feature_192,0,0.0
feature_193,0,0.0
feature_194,0,0.0
feature_195,0,0.0
feature_196,0,0.0
feature_197,0,0.0
feature_198,0,0.0
feature_199,0,0.0
feature_200,0,0.0
feature_201,0,0.0
feature_202,0,0.0
feature_203,0,0.0
feature_204,0,0.0
feature_205,0,0.0
feature_206,0,0.0
feature_207,0,0.0
feature_208,0,0.0
feature_209,0,0.0
feature_210,0,0.0
feature_211,0,0.0
feature_212,0,0.0
feature_213,0,0.0
feature_214,0,0.0
feature_215,0,0.0
feature_216,0,0.0
feature_217,0,0.0
feature_218,0,0.0
feature_219,0,0.0
feature_220,0,0.0
feature_221,0,0.0
feature_222,0,0.0
feature_223,0,0.0
feature_224,0,0.0
feature_225,0,0.0
feature_226,0,0.0
feature_227,0,0.0
feature_228,0,0.0
feature_229,0,0.0
feature_230,0,0.0
feature_231,0,0.0
feature_232,0,0.0
feature_233,0,0.0
feature_234,0,0.0
feature_235,0,0.0
feature_236,0,0.0
feature_237,0,0.0
feature_238,0,0.0
feature_239,0,0.0
feature_240,0,0.0
feature_241,0,0.0
feature_242,0,0.0
feature_243,0,0.0
feature_244,0,0.0
feature_245,0,0.0
feature_246,0,0.0
feature_247,0,0.0
feature_248,0,0.0
feature_249,0,0.0
feature_250,0,0.0
feature_251,0,0.0
feature_252,0,0.0
feature_253,0,0.0
feature_254,0,0.0
feature_255,0,0.0
feature_256,0,0.0
feature_257,0,0.0
feature_258,0,0.0
feature_259,0,0.0
feature_260,0,0.0
feature_261,0,0.0
feature_262,0,0.0
feature_263,0,0.0
feature_264,0,0.0
feature_265,0,0.0
feature_266,0,0.0
feature_267,0,0.0
feature_268,0,0.0
feature_269,0,0.0
feature_270,0,0.0
feature_271,0,0.0
feature_272,0,0.0
feature_273,0,0.0
feature_274,0,0.0
feature_275,0,0.0
feature_276,0,0.0
feature_277,0,0.0
feature_278,0,0.0
feature_279,0,0.0
feature_280,0,0.0
feature_281,0,0.0
feature_282,0,0.0
feature_283,0,0.0
feature_284,0,0.0
feature_285,0,0.0
feature_286,0,0.0
feature_287,0,0.0
feature_288,0,0.0
feature_289,0,0.0
feature_290,0,0.0
feature_291,0,0.0
feature_292,0,0.0
feature_293,0,0.0
feature_294,0,0.0
feature_295,0,0.0
feature_296,0,0.0
feature_297,0,0.0
feature_298,0,0.0
feature_299,0,0.0
feature_300,0,0.0
feature_301,0,0.0
feature_302,0,0.0
feature_303,0,0.0
feature_304,0,0.0
feature_305,0,0.0
feature_306,0,0.0
feature_307,0,0.0
feature_308,0,0.0
feature_309,0,0.0
feature_310,0,0.0
feature_311,0,0.0
feature_312,0,0.0
feature_313,0,0.0
feature_314,0,0.0
feature_315,0,0.0
feature_316,0,0.0
feature_317,0,0.0
feature_318,0,0.0
feature_319,0,0.0
feature_320,0,0.0
feature_321,0,0.0
feature_322,0,0.0
responder_02,0,0.0
responder_03,0,0.0
responder_07,0,0.0
responder_08,0,0.0
responder_09,0,0.0
responder_10,0,0.0
responder_14,0,0.0
responder_15,0,0.0
responder_16,0,0.0
responder_17,0,0.0
responder_21,0,0.0
responder_22,0,0.0
responder_23,0,0.0
responder_24,0,0.0
responder_31,0,0.0
responder_32,0,0.0
responder_33,0,0.0
responder_34,0,0.0
responder_38,0,0.0
responder_39,0,0.0
responder_43,0,0.0
target,0,0.0
